21:21:36.331 setup problem!
22:18:12.935 0.21991523 2.0288262 0.8003006
22:18:21.776 0.19666408 2.0288262 0.6883475
22:18:31.384 0.18944243 2.0288262 0.597141
22:18:47.398 0.18944243 2.0288262 0.5570078
22:19:05.335 0.18944243 2.0288262 0.55755705
22:19:26.337 0.18944243 2.0288262 0.49278837
22:19:44.288 0.16556394 2.0288262 0.47914496
22:20:05.212 0.16556394 2.0288262 0.4663375
22:20:24.798 0.16462643 2.0288262 0.4550472
22:20:43.194 0.16462643 2.0288262 0.46259463
22:21:02.304 0.16462643 2.0288262 0.4781464
22:21:21.377 0.16462643 2.0288262 0.4661152
22:21:39.636 0.16462643 2.0288262 0.49477413
22:21:58.326 0.16462643 2.0288262 0.5205677
22:22:16.456 0.16462643 2.0288262 0.5501365
22:22:36.203 0.16462643 2.0288262 0.5432493
22:22:54.618 0.16462643 2.0288262 0.5325285
22:23:13.334 0.16462643 2.0288262 0.5251756
22:23:32.022 0.16462643 2.0288262 0.5590194
22:23:50.413 0.16462643 2.0288262 0.53978467
22:24:08.504 0.16462643 2.0288262 0.5584594
22:24:26.566 0.16462643 2.0288262 0.5365058
22:24:45.316 0.16462643 2.0288262 0.5528042
22:25:04.859 0.16462643 2.0288262 0.529739
22:25:23.277 0.16462643 2.0288262 0.5452233
22:25:42.950 0.16462643 2.0288262 0.54074913
22:26:00.570 0.16462643 2.0288262 0.53512657
22:26:21.062 0.06258913 2.0288262 0.5339291
22:26:38.854 0.06258913 2.0288262 0.52971023
22:26:58.016 0.06258913 2.0288262 0.53640485
22:27:17.275 0.06258913 2.0289826 0.52194524
22:27:38.194 0.06258913 2.0289826 0.54228795
22:28:03.804 0.06258913 2.0289826 0.5176246
22:28:34.513 0.05753006 2.0298264 0.48284495
22:29:08.181 0.046620566 2.0298264 0.4415726
22:29:41.816 0.046620566 2.0298889 0.47287047
22:30:15.464 0.046620566 2.0298889 0.45990413
22:30:50.555 0.046620566 2.0298889 0.41529623
22:37:48.037 0.046620566 2.0298889 0.44125694
22:38:23.813 0.046620566 2.0298889 0.46694735
22:38:58.486 0.046620566 2.0298889 0.49201497
22:39:32.147 0.046620566 2.0298889 0.5331132
22:40:05.119 0.046620566 2.0298889 0.50530696
22:40:38.105 0.046620566 2.0298889 0.49363267
22:41:13.352 0.046620566 2.0298889 0.48097256
22:41:47.442 0.046620566 2.0298889 0.5083016
22:42:20.863 0.046620566 2.0298889 0.49199703
22:42:55.081 0.046620566 2.0298889 0.5032733
22:43:28.963 0.046620566 2.0298889 0.5120717
22:44:02.672 0.046620566 2.0298889 0.5016531
22:44:37.553 0.046620566 2.0298889 0.52604926
22:45:11.028 0.046620566 2.0298889 0.51443803
22:45:44.996 0.046620566 2.0298889 0.48686296
22:46:19.232 0.046620566 2.0298889 0.49167404
22:46:53.209 0.046620566 2.0298889 0.5188858
22:47:26.561 0.046620566 2.0298889 0.49660897
22:47:58.253 0.046620566 2.0298889 0.4998426
22:48:32.637 0.046620566 2.0298889 0.561968
22:49:07.186 0.046620566 2.0298889 0.511104
22:49:41.866 0.046620566 2.0298889 0.48120072
22:54:54.713 0.046620566 2.0298889 0.49596295
22:55:30.181 0.046620566 2.0298889 0.4913072
22:56:06.201 0.046620566 2.0298889 0.50074834
22:56:41.619 0.046620566 2.0298889 0.4847159
22:57:17.299 0.046620566 2.0298889 0.5373556
22:57:53.294 0.046620566 2.0298889 0.48852873
22:58:29.110 0.046620566 2.0298889 0.5267747
22:59:03.738 0.046620566 2.0298889 0.4875926
22:59:41.032 0.046620566 2.0298889 0.4821397
23:00:15.463 0.046620566 2.0298889 0.49739188
23:00:49.559 0.046620566 2.0298889 0.48664773
23:01:23.998 0.046620566 2.0298889 0.52583116
23:01:58.071 0.046620566 2.0298889 0.48763642
23:02:33.015 0.046620566 2.0298889 0.5156861
23:03:07.514 0.046620566 2.0298889 0.5225854
23:03:43.002 0.046620566 2.0298889 0.5260235
23:04:17.558 0.046620566 2.0298889 0.5091044
23:04:52.216 0.046620566 2.0298889 0.5105099
23:05:26.978 0.046620566 2.0298889 0.52471614
23:06:02.336 0.046620566 2.0298889 0.51535904
23:06:36.871 0.046620566 2.0298889 0.461787
23:07:11.770 0.046620566 2.0298889 0.5081206
23:07:46.653 0.046620566 2.0298889 0.47652456
23:08:20.428 0.046620566 2.0298889 0.53708035
23:08:56.027 0.046620566 2.0298889 0.507465
23:09:31.761 0.046620566 2.0298889 0.496526
23:10:06.732 0.046620566 2.0298889 0.4840373
23:10:40.989 0.046620566 2.0298889 0.478813
23:11:14.727 0.046620566 2.0298889 0.4918008
23:11:49.766 0.046620566 2.0298889 0.48535073
23:12:21.907 0.046620566 2.0298889 0.5128743
23:12:56.716 0.046620566 2.0298889 0.48698664
23:13:29.016 0.046620566 2.0298889 0.49472353
23:14:03.367 0.046620566 2.0298889 0.5085275
23:14:35.817 0.046620566 2.0298889 0.48382238
23:15:09.735 0.046620566 2.0298889 0.4716461
23:15:42.430 0.046620566 2.0298889 0.48210576
